thumbnail,duration,title,date
https://pbs.twimg.com/ext_tw_video_thumb/1178800368408502273/pu/img/VLqvHFI4iEPUSKys.jpg,0:06,fuck em fuck em,"Sep 30, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1178561179159007232/pu/img/tpkBdMgtpGnN7Gb0.jpg,0:05,MLK somebody told a lie,"Sep 30, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1178505973775904774/pu/img/TO4On7jgMvtCTiWd.jpg,0:05,Untitled,"Sep 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1178487301560774656/pu/img/F0nqZ3YZyUzUH0WF.jpg,0:03,Untitled,"Sep 29, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1175456559612203010/pu/img/7xgkkxRrAlP4DSi2.jpg,0:04,Untitled,"Sep 21, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1172536992833388544/pu/img/UJIzp79FQj_NXefD.jpg,0:03,Untitled,"Sep 13, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171929352768053248/pu/img/nrf4EYxSPfYPT7TT.jpg,0:20,Untitled,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171926924010106880/pu/img/emusnI36kEyaTjHy.jpg,0:08,Untitled,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171925953779552256/pu/img/UicAhqwh9Id5CDnN.jpg,0:08,Untitled,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171920538979262467/pu/img/odVqPQB5OLiIaGv3.jpg,0:05,Cardi B ,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171915078557474816/pu/img/-2KRI4AnicK6292s.jpg,0:06,Untitled,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171844682411839489/pu/img/iTdwVP_cM03Sy6Lf.jpg,0:02,Untitled,"Sep 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171349959402283008/pu/img/LePfuC8ce5hIWYLt.jpg,0:21,beautiful boy,"Sep 10, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1171107040535764992/pu/img/WnYW33U5f3sKNyoD.jpg,0:07,Untitled,"Sep 9, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1170847961917644800/pu/img/o1p7x2abxS90gx23.jpg,0:08,snookie typing,"Sep 8, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1170418670700548096/pu/img/cqVOVqpLV99cCSGQ.jpg,0:04,Untitled,"Sep 7, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1170411377732837377/pu/img/khKSPOM-rm1Iatwh.jpg,0:03,Untitled,"Sep 7, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1170410727682846721/pu/img/K2Myv-PIgrL3ygJP.jpg,0:03,Untitled,"Sep 7, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1169761420789125121/pu/img/8iQxVLjMqRZCQjez.jpg,0:07,Untitled,"Sep 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1169500099526967296/pu/img/XhItqtRpmGQLYxz3.jpg,0:05,Untitled,"Sep 5, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1169283155397947392/pu/img/4deZN9Nky7ZPZP6Y.jpg,0:05,Untitled,"Sep 4, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1167869864897204225/pu/img/txaHwtca22VsmukO.jpg,0:07,Untitled,"Aug 31, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1166549982687748097/pu/img/VdlPG89Ss1cYbl-2.jpg,0:05,Untitled,"Aug 27, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1166548362180648966/pu/img/OqNZFou9kvIbiSuH.jpg,0:01,Untitled,"Aug 27, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1166547447646175233/pu/img/swYhayD1q3R7szG1.jpg,0:04,not how this works,"Aug 27, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1166544887317184512/pu/img/FAruOukynRptJSON.jpg,0:05,Swalwel prosecutors ,"Aug 27, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1166055292276285446/pu/img/w9Q-_Mcgyktl7EMe.jpg,0:05,Untitled,"Aug 26, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1165978924016373761/pu/img/kpWuR8kc_ZqJ-Iis.jpg,0:03,I sho did,"Aug 26, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1165978175026946049/pu/img/mJUc2ZslALJJE44J.jpg,0:04,Untitled,"Aug 26, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1165408742566969345/pu/img/6m7N9cMpm2ImH3f4.jpg,0:06,Untitled,"Aug 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1165344742600822785/pu/img/ZVDYpdaON-ODc4cN.jpg,0:03,Untitled,"Aug 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1165219016245415936/pu/img/Aze-WsJjUEGHAzP1.jpg,0:04,Untitled,"Aug 24, 2019"
https://pbs.twimg.com/amplify_video_thumb/1165217126732455936/img/ivjGdLzgOjpIY6HR.jpg,0:04,ohhh she's delusional,"Aug 24, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1163930099567255556/pu/img/VYBIVTuhHAK_Coiz.jpg,0:03,Untitled,"Aug 20, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1163552512827383808/pu/img/rg9qic2IGsSu1ejR.jpg,1:55,Untitled,"Aug 19, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1161334142434500608/pu/img/hLx_FBk3DwE2YTmy.jpg,0:09,Untitled,"Aug 13, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160887038687764485/pu/img/W6O_L0Ler6aAPdFe.jpg,0:05,Untitled,"Aug 12, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160711302395957248/pu/img/BUEpicVfdq7vYRyI.jpg,1:06,Untitled,"Aug 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160707525332873217/pu/img/GDMEgyqX8Ai9Vj7M.jpg,0:25,Untitled,"Aug 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160701283357089792/pu/img/RvN2WWKAHQ5jMoG9.jpg,0:44,Untitled,"Aug 11, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160215074218360834/pu/img/wbwMWSgIo0VnSplq.jpg,0:05,Untitled,"Aug 10, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160054889462083584/pu/img/s4jMUEGRc8A6k3MC.jpg,0:04,Untitled,"Aug 10, 2019"
https://pbs.twimg.com/ext_tw_video_thumb/1160022165489627136/pu/img/EUQxacOS0w3efizf.jpg,0:09,Untitled,"Aug 9, 2019"
